bID,pID,AB,H,PA,RL,SAC,SO,TB,W,matchID,AVG,OBP,ov_AB,ov_H,ov_PA,ov_SAC,ov_SO,ov_TB,ov_W,ov_FACED,ov_AVG,ov_OBP,ov_SO_PCT,ov_W_PCT,ov_H_PCT,ovp_AB,ovp_H,ovp_PA,ovp_SAC,ovp_SO,ovp_TB,ovp_W,ovp_FACED,ovp_SO_PCT,ovp_W_PCT,ovp_H_PCT,ovp_AVG,ovp_OBP
palmr001,hallr001,37,12,45,R,0,4,22,8,palmr001_hallr001,0.324324324324,0.444444444444,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,3914,1051,4187,37,749,1899,273,96,0.178887031287,0.0652018151421,0.251015046573,0.268523249872,0.316216861715
palmr001,hanec001,25,9,27,L,1,5,15,2,palmr001_hanec001,0.36,0.407407407407,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,187,64,208,5,14,117,21,7,0.0673076923077,0.100961538462,0.307692307692,0.342245989305,0.408653846154
palmr001,hanse001,33,7,37,R,0,5,11,4,palmr001_hanse001,0.212121212121,0.297297297297,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,582,162,642,11,77,272,60,18,0.119937694704,0.0934579439252,0.252336448598,0.278350515464,0.345794392523
palmr001,hawkl001,30,6,32,R,1,4,18,2,palmr001_hawkl001,0.2,0.25,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,619,173,694,9,85,331,75,23,0.122478386167,0.108069164265,0.249279538905,0.279483037157,0.35734870317
palmr001,hentp001,55,12,63,R,1,8,16,8,palmr001_hentp001,0.218181818182,0.31746031746,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,1629,431,1826,20,229,870,197,45,0.125410733844,0.107886089814,0.236035049288,0.264579496624,0.343921139102
palmr001,herno001,40,13,45,R,0,3,37,5,palmr001_herno001,0.325,0.4,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,833,228,931,17,137,509,98,29,0.147153598281,0.105263157895,0.244897959184,0.273709483794,0.350161117078
palmr001,herso001,24,9,31,R,1,2,19,7,palmr001_herso001,0.375,0.516129032258,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,747,219,855,16,101,435,108,20,0.118128654971,0.126315789474,0.256140350877,0.293172690763,0.382456140351
palmr001,hibbg001,30,10,32,L,0,1,22,2,palmr001_hibbg001,0.333333333333,0.375,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,111,39,118,2,6,91,7,4,0.0508474576271,0.0593220338983,0.330508474576,0.351351351351,0.389830508475
palmr001,hitcs001,32,13,38,L,1,3,35,6,palmr001_hitcs001,0.40625,0.5,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,318,88,355,3,53,166,37,11,0.149295774648,0.104225352113,0.247887323944,0.276729559748,0.352112676056
palmr001,hudst001,36,7,43,R,1,9,21,7,palmr001_hudst001,0.194444444444,0.325581395349,3884,1084,4434,52,508,2386,550,102,0.279093717817,0.36851601263,0.114569237709,0.124041497519,0.244474515111,4339,1170,4822,50,674,2171,483,117,0.139776026545,0.100165906263,0.242637909581,0.26964738419,0.342803815844
